timestamp,label,confidence
2025-12-19T09:07:38.809468,car,0.77
2025-12-19T09:07:38.810131,car,0.75
2025-12-19T09:07:38.810607,car,0.68
2025-12-19T09:07:38.811097,car,0.60
2025-12-19T09:07:38.811676,car,0.58
2025-12-19T09:07:38.812253,car,0.56
2025-12-19T09:07:38.948435,car,0.77
2025-12-19T09:07:38.949016,car,0.75
2025-12-19T09:07:38.949507,car,0.68
2025-12-19T09:07:38.950047,car,0.60
2025-12-19T09:07:38.950566,car,0.58
2025-12-19T09:07:38.951100,car,0.56
2025-12-19T09:07:39.123036,car,0.77
2025-12-19T09:07:39.123777,car,0.75
2025-12-19T09:07:39.124297,car,0.68
2025-12-19T09:07:39.124772,car,0.60
2025-12-19T09:07:39.125257,car,0.59
2025-12-19T09:07:39.125762,car,0.56
2025-12-19T09:07:39.126193,bird,0.44
2025-12-19T09:07:39.245870,car,0.77
2025-12-19T09:07:39.246712,car,0.75
2025-12-19T09:07:39.247283,car,0.68
2025-12-19T09:07:39.247750,car,0.60
2025-12-19T09:07:39.248409,car,0.59
2025-12-19T09:07:39.249088,car,0.56
2025-12-19T09:07:39.367011,car,0.77
2025-12-19T09:07:39.367727,car,0.75
2025-12-19T09:07:39.368350,car,0.68
2025-12-19T09:07:39.368863,car,0.60
2025-12-19T09:07:39.369427,car,0.59
2025-12-19T09:07:39.369931,car,0.56
2025-12-19T09:07:39.487171,car,0.77
2025-12-19T09:07:39.487813,car,0.75
2025-12-19T09:07:39.488372,car,0.68
2025-12-19T09:07:39.488832,car,0.60
2025-12-19T09:07:39.489298,car,0.59
2025-12-19T09:07:39.489764,car,0.56
2025-12-19T09:07:39.607159,car,0.77
2025-12-19T09:07:39.607820,car,0.75
2025-12-19T09:07:39.608295,car,0.68
2025-12-19T09:07:39.608775,car,0.60
2025-12-19T09:07:39.609409,car,0.59
2025-12-19T09:07:39.609905,car,0.56
2025-12-19T09:07:39.730667,car,0.77
2025-12-19T09:07:39.731276,car,0.75
2025-12-19T09:07:39.731949,car,0.68
2025-12-19T09:07:39.732433,car,0.59
2025-12-19T09:07:39.732908,car,0.59
2025-12-19T09:07:39.733374,car,0.56
2025-12-19T09:07:39.853695,car,0.77
2025-12-19T09:07:39.854363,car,0.75
2025-12-19T09:07:39.854856,car,0.68
2025-12-19T09:07:39.855365,car,0.59
2025-12-19T09:07:39.855905,car,0.59
2025-12-19T09:07:39.856418,car,0.56
2025-12-19T09:07:39.976566,car,0.77
2025-12-19T09:07:39.977185,car,0.75
2025-12-19T09:07:39.977699,car,0.68
2025-12-19T09:07:39.978210,car,0.59
2025-12-19T09:07:39.978754,car,0.59
2025-12-19T09:07:39.979240,car,0.56
2025-12-19T09:07:40.099906,car,0.77
2025-12-19T09:07:40.100688,car,0.75
2025-12-19T09:07:40.101335,car,0.68
2025-12-19T09:07:40.101993,car,0.59
2025-12-19T09:07:40.102580,car,0.59
2025-12-19T09:07:40.103154,car,0.56
2025-12-19T09:07:40.244101,car,0.77
2025-12-19T09:07:40.244851,car,0.75
2025-12-19T09:07:40.245340,car,0.68
2025-12-19T09:07:40.245835,car,0.59
2025-12-19T09:07:40.246636,car,0.59
2025-12-19T09:07:40.247154,car,0.56
2025-12-19T09:07:40.368064,car,0.77
2025-12-19T09:07:40.368741,car,0.75
2025-12-19T09:07:40.369320,car,0.68
2025-12-19T09:07:40.369944,car,0.59
2025-12-19T09:07:40.370510,car,0.59
2025-12-19T09:07:40.371017,car,0.56
2025-12-19T09:07:40.492264,car,0.77
2025-12-19T09:07:40.492951,car,0.75
2025-12-19T09:07:40.494491,car,0.68
2025-12-19T09:07:40.494994,car,0.59
2025-12-19T09:07:40.495395,car,0.59
2025-12-19T09:07:40.495788,car,0.56
2025-12-19T09:07:40.617115,car,0.77
2025-12-19T09:07:40.617831,car,0.75
2025-12-19T09:07:40.618523,car,0.68
2025-12-19T09:07:40.619095,car,0.59
2025-12-19T09:07:40.619581,car,0.59
2025-12-19T09:07:40.620100,car,0.56
2025-12-19T09:07:40.739040,car,0.77
2025-12-19T09:07:40.739623,car,0.75
2025-12-19T09:07:40.740177,car,0.68
2025-12-19T09:07:40.740706,car,0.59
2025-12-19T09:07:40.741167,car,0.59
2025-12-19T09:07:40.741655,car,0.56
2025-12-19T09:07:40.873850,car,0.77
2025-12-19T09:07:40.874535,car,0.76
2025-12-19T09:07:40.875032,car,0.68
2025-12-19T09:07:40.875514,car,0.60
2025-12-19T09:07:40.876234,car,0.59
2025-12-19T09:07:40.876739,car,0.55
2025-12-19T09:07:41.017874,car,0.77
2025-12-19T09:07:41.018574,car,0.76
2025-12-19T09:07:41.019870,car,0.68
2025-12-19T09:07:41.020394,car,0.60
2025-12-19T09:07:41.020855,car,0.59
2025-12-19T09:07:41.021302,car,0.55
2025-12-19T09:07:41.143544,car,0.77
2025-12-19T09:07:41.144453,car,0.76
2025-12-19T09:07:41.145148,car,0.68
2025-12-19T09:07:41.145724,car,0.60
2025-12-19T09:07:41.146337,car,0.59
2025-12-19T09:07:41.146901,car,0.55
2025-12-19T09:07:41.266143,car,0.77
2025-12-19T09:07:41.268750,car,0.76
2025-12-19T09:07:41.272244,car,0.68
2025-12-19T09:07:41.273035,car,0.59
2025-12-19T09:07:41.277160,car,0.59
2025-12-19T09:07:41.277615,car,0.55
2025-12-19T09:07:41.397852,car,0.77
2025-12-19T09:07:41.398477,car,0.76
2025-12-19T09:07:41.399157,car,0.68
2025-12-19T09:07:41.399650,car,0.60
2025-12-19T09:07:41.400180,car,0.59
2025-12-19T09:07:41.400768,car,0.56
2025-12-19T09:07:41.520585,car,0.77
2025-12-19T09:07:41.521318,car,0.76
2025-12-19T09:07:41.521857,car,0.68
2025-12-19T09:07:41.522612,car,0.60
2025-12-19T09:07:41.523194,car,0.59
2025-12-19T09:07:41.523772,car,0.56
2025-12-19T09:07:41.643875,car,0.77
2025-12-19T09:07:41.644846,car,0.76
2025-12-19T09:07:41.645448,car,0.68
2025-12-19T09:07:41.646047,car,0.60
2025-12-19T09:07:41.646531,car,0.59
2025-12-19T09:07:41.646995,car,0.56
2025-12-19T09:07:41.770489,car,0.77
